Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: momizza_display_price,Meta: momizza_source_section
variable,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA,Double Cheese Margherita,1,0,visible,Only cheese pizza,Only cheese pizza,taxable,1,,Pizza Classic Range,Momizza menu,,1,Option,"Regular, Medium, Large",1,0,,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA-REGULAR,Double Cheese Margherita - Regular,1,0,visible,,,taxable,1,189,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA,1,Option,Regular,1,0,₹189,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA-MEDIUM,Double Cheese Margherita - Medium,1,0,visible,,,taxable,1,319,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA,2,Option,Medium,1,0,₹319,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA-LARGE,Double Cheese Margherita - Large,1,0,visible,,,taxable,1,449,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-DOUBLE-CHEESE-MARGHERITA,3,Option,Large,1,0,₹449,Pizza Classic Range
variable,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE,Farm Fresh Choice,1,0,visible,"Onion, capsicum, tomato, mushroom","Onion, capsicum, tomato, mushroom",taxable,1,,Pizza Classic Range,Momizza menu,,2,Option,"Regular, Medium, Large",1,0,,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE-REGULAR,Farm Fresh Choice - Regular,1,0,visible,,,taxable,1,189,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE,1,Option,Regular,1,0,₹189,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE-MEDIUM,Farm Fresh Choice - Medium,1,0,visible,,,taxable,1,319,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE,2,Option,Medium,1,0,₹319,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE-LARGE,Farm Fresh Choice - Large,1,0,visible,,,taxable,1,449,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-FARM-FRESH-CHOICE,3,Option,Large,1,0,₹449,Pizza Classic Range
variable,MOM-PIZZA-CLASSI-SPICY-DELIGHT,Spicy Delight,1,0,visible,"Capsicum, jalapeno, mushroom","Capsicum, jalapeno, mushroom",taxable,1,,Pizza Classic Range,Momizza menu,,3,Option,"Regular, Medium, Large",1,0,,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-SPICY-DELIGHT-REGULAR,Spicy Delight - Regular,1,0,visible,,,taxable,1,189,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-SPICY-DELIGHT,1,Option,Regular,1,0,₹189,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-SPICY-DELIGHT-MEDIUM,Spicy Delight - Medium,1,0,visible,,,taxable,1,319,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-SPICY-DELIGHT,2,Option,Medium,1,0,₹319,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-SPICY-DELIGHT-LARGE,Spicy Delight - Large,1,0,visible,,,taxable,1,449,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-SPICY-DELIGHT,3,Option,Large,1,0,₹449,Pizza Classic Range
variable,MOM-PIZZA-CLASSI-PANEER-MAKHANI,Paneer Makhani,1,0,visible,"Paneer, capsicum, makhani sauce","Paneer, capsicum, makhani sauce",taxable,1,,Pizza Classic Range,Momizza menu,,4,Option,"Regular, Medium, Large",1,0,,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-PANEER-MAKHANI-REGULAR,Paneer Makhani - Regular,1,0,visible,,,taxable,1,189,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-PANEER-MAKHANI,1,Option,Regular,1,0,₹189,Pizza Classic Range
